sample_id,caption
coco_ff4531080f2cf3092d792f32,smoke coco scene 376
coco_f71a82177f845e3deaf0ae71,smoke coco scene 81
coco_28d39c80cea4f1cb58599295,smoke coco scene 342
coco_47110bdedf6c493b076fa527,smoke coco scene 307
coco_3e1403c378df5b228eebd1b1,smoke coco scene 44
coco_4f5bb3c9291ad8a4995620b1,smoke coco scene 278
coco_39f1682fcc336f8861fb59d4,smoke coco scene 19
coco_2f13d2fa8871607da87e8cd0,smoke coco scene 339
coco_71d907f7e59f9864d2bebdd7,smoke coco scene 133
coco_3b2806c0904a7695bcbd3d34,smoke coco scene 144
coco_8f4c5a8ef1edb50d17b2d9b0,smoke coco scene 284
coco_4ceecb537df4004d50fe4837,smoke coco scene 337
coco_5820e667f8fa70aaf8da89e8,smoke coco scene 7
coco_1aae541a8ac7ee02ff93e0e3,smoke coco scene 314
coco_3419c47f67dcfaeb7a78d960,smoke coco scene 56
coco_d5ec207661f859fcb90299bd,smoke coco scene 159
coco_e993dd9ac7764fb795ae4afd,smoke coco scene 79
coco_2585ec38080e8b97b2d0a751,smoke coco scene 256
coco_3503e3ecb798f2181ad370aa,smoke coco scene 157
coco_52173b8cb6c6f89e266f9ad0,smoke coco scene 204
coco_b2c65635805c6713d4b9a5dc,smoke coco scene 222
coco_48adc89b8b514428f82fba4f,smoke coco scene 350
coco_f4f8ab6f279dfd0948baf55c,smoke coco scene 336
coco_265b2f1c72a9f363642a3195,smoke coco scene 218
coco_5f4aa91da84019262c89addb,smoke coco scene 123
coco_99e1c441ee528c2b7d440e41,smoke coco scene 291
coco_2fc903e95fd11fa51dc40088,smoke coco scene 265
coco_6000d6a99317f65ae595f0dc,smoke coco scene 260
coco_65d2cad942c2c531cd0ba26c,smoke coco scene 76
coco_9c3a020ab739bf870afefa23,smoke coco scene 321
coco_e4425e9e03da57d11c5c580b,smoke coco scene 100
coco_3509751d9a2290a6105ac249,smoke coco scene 351
coco_c4c00a724de8975d622eb6dc,smoke coco scene 237
coco_0bada288db0d691908aba119,smoke coco scene 32
coco_94933ce0e7ace918913a8026,smoke coco scene 234
coco_ddba186cf523eafe137cdd06,smoke coco scene 249
coco_c6d8c7f7e431ed5ff62a0f30,smoke coco scene 24
coco_989727ed8d6e1821e12827de,smoke coco scene 294
coco_d367eae7c8df3b5799948ad6,smoke coco scene 276
coco_c9801f449b13d644d9dd27fe,smoke coco scene 8
coco_62034323c4f5fc4b4a9d8856,smoke coco scene 398
coco_7ffbe2f02310fed609d13e79,smoke coco scene 95
coco_6304aa996d0a0d376ad9a002,smoke coco scene 324
coco_4b19ceb2bb00fd0cdc4d3bbf,smoke coco scene 164
coco_b9f38160f673b924d590f71b,smoke coco scene 318
coco_c120d4bf09b07baa09f6a1ec,smoke coco scene 181
coco_8afdc6e4a68d1ecf44e8c91f,smoke coco scene 130
coco_761fcd323e3d1a0bb39d265a,smoke coco scene 227
coco_6d3591241e48d7e0d864776c,smoke coco scene 365
coco_38f8cdf8c9bdfcaa2cda6798,smoke coco scene 78
coco_f22a3f1e2cbabde165968705,smoke coco scene 61
coco_220e16ab637a9b27e5463bb4,smoke coco scene 287
coco_733b90e6d11c17a5d6c0df5f,smoke coco scene 359
coco_bc05bb485c7b1862a1ed4408,smoke coco scene 299
coco_cf1d7169667c7e9b42ff8130,smoke coco scene 326
coco_a416f57cc09d163c6bd7739a,smoke coco scene 18
coco_566dd4773e98f6ac2e8abaf7,smoke coco scene 198
coco_2fb7524d70f3a85a64d65028,smoke coco scene 200
coco_5f6db3a941def9932cc239ec,smoke coco scene 90
coco_aa5b2f9286530e464aaea4c0,smoke coco scene 74
coco_0fed0734c0211421787dacfa,smoke coco scene 71
coco_2c86669ca10c3655401b220c,smoke coco scene 158
coco_f622e60b91586e8193701471,smoke coco scene 12
coco_aaed1a357926be94c3809240,smoke coco scene 393
coco_16687af29e30fa7e52f88958,smoke coco scene 193
coco_7954570a48fe2331d9d388cf,smoke coco scene 62
coco_f5c798f5c10f03a8c1325f80,smoke coco scene 165
coco_927e7ca45c515a31d2e8c54f,smoke coco scene 11
coco_b1764a46061c81adad51efd0,smoke coco scene 264
coco_b4e89496006c366df59a4aac,smoke coco scene 346
coco_61745c6e2ddad72a90fcd5fd,smoke coco scene 316
coco_98e5045d6f3cca30bbc0dfe0,smoke coco scene 269
coco_8b286469a9e5b2d0746d672b,smoke coco scene 285
coco_4b033d9cd02aa5d3f5260252,smoke coco scene 42
coco_dc3dfb36554c525c13e253c0,smoke coco scene 155
coco_668f924fea0810e37b0231a6,smoke coco scene 290
coco_641c28ccc5a7a12a73e70d62,smoke coco scene 196
coco_9f715ed577b19cd3944ca9a2,smoke coco scene 153
coco_1330ba2658440d52578667cf,smoke coco scene 47
coco_ea3149368ec2121281e2a3da,smoke coco scene 248
coco_16b8ee8c134417da1b2bf12d,smoke coco scene 364
coco_951206332731decbfb56f8c4,smoke coco scene 355
coco_77fb8aab8dfe5e7eeb0fbc26,smoke coco scene 219
coco_e0eaeb0661f64ec95b497005,smoke coco scene 34
coco_2dbfc2b4678daf35391c0ff4,smoke coco scene 348
coco_b26c354e29ebdf5fb0f1de15,smoke coco scene 149
coco_ec1e159b2a36330078160108,smoke coco scene 274
coco_c13570434c80d0c61c8ac16d,smoke coco scene 192
coco_994c66e912c2173331438cc4,smoke coco scene 124
coco_3ccebf5681c64b8bc52cf323,smoke coco scene 98
coco_b4aba11a68c06bc138fea864,smoke coco scene 233
coco_3acd56a697bf21cab0d0f9d2,smoke coco scene 197
coco_bb30ae08c99cace0b25e12fe,smoke coco scene 88
coco_9066c465d541351ccef7e59f,smoke coco scene 341
coco_8154c3aab75ec998685fa167,smoke coco scene 375
coco_de3e4b97ee88bdea0dd0dade,smoke coco scene 270
coco_7c0366a2658a80c809fe65bf,smoke coco scene 242
coco_ec11fa22c70114ae33d1b7c6,smoke coco scene 286
coco_ed5bdb795d1a2b5d9c6b7e3d,smoke coco scene 93
coco_9e5a2f5248e54b120876068f,smoke coco scene 377
coco_204f2ec1bb1a9c79a13ebe52,smoke coco scene 152
