sample_id,source_id,raw_path,relative_path,caption,width,height,sha256,valid,error
coco_36ad1f068347cbdfe44496e0,coco,data/raw_smoke/coco/images/train2017/000000000001.jpg,images/train2017/000000000001.jpg,smoke coco scene 1,128,128,0a5e81a38f601baa8c3715b44d7906a0df54a6f2ad7e5ac4c675e75719e8b972,1,
coco_776627e2b4060728d6239fe8,coco,data/raw_smoke/coco/images/train2017/000000000002.jpg,images/train2017/000000000002.jpg,smoke coco scene 2,128,128,c41924c1ab7b1acade501cbe5a290ebf9ee08552a506a33bfc82bc577f38dd15,1,
coco_b77b79c21a8d19837dcf6536,coco,data/raw_smoke/coco/images/train2017/000000000003.jpg,images/train2017/000000000003.jpg,smoke coco scene 3,128,128,ff708453a9a1034e0761f776e2b61e0aa89c4b79840fd389b0957c37af4d568b,1,
coco_bab41eaba3c9536f5273f454,coco,data/raw_smoke/coco/images/train2017/000000000004.jpg,images/train2017/000000000004.jpg,smoke coco scene 4,128,128,693a29acbb3f05a00325fdb43f490804259a86ff2959c431b8d12f92d60d35b4,1,
coco_dcd4cd5b9af3f351b01d7a2a,coco,data/raw_smoke/coco/images/train2017/000000000005.jpg,images/train2017/000000000005.jpg,smoke coco scene 5,128,128,bbd80597b869475590eabdb7a39a4ac1447737d1b3aba295af5dde772fc98547,1,
coco_b55b89ed79d7c018af83aa8a,coco,data/raw_smoke/coco/images/train2017/000000000006.jpg,images/train2017/000000000006.jpg,smoke coco scene 6,128,128,4d8761ea3fe75e8e001a1b8b1ee29b9676d43f69eae94a04d0417cc5c9fd569a,1,
coco_5820e667f8fa70aaf8da89e8,coco,data/raw_smoke/coco/images/train2017/000000000007.jpg,images/train2017/000000000007.jpg,smoke coco scene 7,128,128,4f6ec103c99322f93f03f3679b7608a715935a2ab5a3cd5cbc892eff6fe0e997,1,
coco_c9801f449b13d644d9dd27fe,coco,data/raw_smoke/coco/images/train2017/000000000008.jpg,images/train2017/000000000008.jpg,smoke coco scene 8,128,128,ac268f92c5dc4212788b5946a4bc3602a16f7dbccafb889179a4334a2b668b52,1,
coco_94641d02c872ab5eb73a48ad,coco,data/raw_smoke/coco/images/train2017/000000000009.jpg,images/train2017/000000000009.jpg,smoke coco scene 9,128,128,9be4fc1be29e70154741fed328c15bdc725f3438a9541033a3f2eb525c98734e,1,
coco_2712c26923726d7f785745d0,coco,data/raw_smoke/coco/images/train2017/000000000010.jpg,images/train2017/000000000010.jpg,smoke coco scene 10,128,128,eed1d976fa10c3f8501e2788b46174d5f1113fa31c732dc264fe107a2fb44c60,1,
coco_927e7ca45c515a31d2e8c54f,coco,data/raw_smoke/coco/images/train2017/000000000011.jpg,images/train2017/000000000011.jpg,smoke coco scene 11,128,128,2c238a96e0a72f3eede74a4fc2567dc6664c9eaef9ea875036b3624781bed1ae,1,
coco_f622e60b91586e8193701471,coco,data/raw_smoke/coco/images/train2017/000000000012.jpg,images/train2017/000000000012.jpg,smoke coco scene 12,128,128,e2b34080fedd4ada8d802842274a5ae665e1e192e1508251fbfad48333fb10c1,1,
coco_a4af2a327151802d2e816f7a,coco,data/raw_smoke/coco/images/train2017/000000000013.jpg,images/train2017/000000000013.jpg,smoke coco scene 13,128,128,7a596822babd6a2e6e238cb0d1e6b01d51a95733ce7b189955ca7e36cb3b30cd,1,
coco_a935c080a19269808ac73afc,coco,data/raw_smoke/coco/images/train2017/000000000014.jpg,images/train2017/000000000014.jpg,smoke coco scene 14,128,128,d8c916391a84ad628670336fb34dd24a914cb814e3b69cc36fc0447afd4af39b,1,
coco_7ed472a5861adad683e19953,coco,data/raw_smoke/coco/images/train2017/000000000015.jpg,images/train2017/000000000015.jpg,smoke coco scene 15,128,128,3b3b4c3de60ff4dce3da0b1b8a05f9e3bcd79daf1980a439ea62e2c627388edf,1,
coco_0dc28a5867c6b734fa6afdbf,coco,data/raw_smoke/coco/images/train2017/000000000016.jpg,images/train2017/000000000016.jpg,smoke coco scene 16,128,128,bc5dbf2ac4ad171937204a189230285d5e280cbd097e1756b92c32ca6b8dc1b6,1,
coco_2775aef6195d80a66f988aa6,coco,data/raw_smoke/coco/images/train2017/000000000017.jpg,images/train2017/000000000017.jpg,smoke coco scene 17,128,128,5b314e534f71c945d8b6a7839c3bd50a676faf26f263bd3a7d7c6dc5e39859ee,1,
coco_a416f57cc09d163c6bd7739a,coco,data/raw_smoke/coco/images/train2017/000000000018.jpg,images/train2017/000000000018.jpg,smoke coco scene 18,128,128,a24aa31a12525b7f66ef27ba3a48aa43cc428f4f352dd74ee4d03d034b60fdb2,1,
coco_39f1682fcc336f8861fb59d4,coco,data/raw_smoke/coco/images/train2017/000000000019.jpg,images/train2017/000000000019.jpg,smoke coco scene 19,128,128,34d4b49c969ac2ed0050db5f917777f9624a7ca00746a45b81d2bd6a75435154,1,
coco_01cd7822c336ab5a7af1ad5f,coco,data/raw_smoke/coco/images/train2017/000000000020.jpg,images/train2017/000000000020.jpg,smoke coco scene 20,128,128,a73b9bf57aa7932fad66b7686122ddb360ebb8c889d68c11d297b1cb85b70b86,1,
coco_c7126760f9c2f9f60f984844,coco,data/raw_smoke/coco/images/train2017/000000000021.jpg,images/train2017/000000000021.jpg,smoke coco scene 21,128,128,c1d7b732f3e98a1909fb42f2ff4a46aa411cdcdfa2e63483b64955ceae23140a,1,
coco_dc84890ff92e95642e0660a8,coco,data/raw_smoke/coco/images/train2017/000000000022.jpg,images/train2017/000000000022.jpg,smoke coco scene 22,128,128,86d65a05e6bdf00dc42b75b8501f675e065b1a29587b8f84acec2d37dbc2fe1c,1,
coco_161533e730ba90dfb163fc5a,coco,data/raw_smoke/coco/images/train2017/000000000023.jpg,images/train2017/000000000023.jpg,smoke coco scene 23,128,128,d79dd1532144d7008501d674fe903b603072eb05cc48fb9307c1f7487bf25794,1,
coco_c6d8c7f7e431ed5ff62a0f30,coco,data/raw_smoke/coco/images/train2017/000000000024.jpg,images/train2017/000000000024.jpg,smoke coco scene 24,128,128,5e80b22ff8486c82bb7d8a73aca0687c4a54b9f076940dadc74d1079310f22b5,1,
coco_a6e5811273a45dfddee3610e,coco,data/raw_smoke/coco/images/train2017/000000000025.jpg,images/train2017/000000000025.jpg,smoke coco scene 25,128,128,3a363958e3a1796135d0d2a2f05b6a8f1e69b24cf677a05b33dbe4cb3212d5e5,1,
coco_ba0f96b4c1756584a19907c2,coco,data/raw_smoke/coco/images/train2017/000000000026.jpg,images/train2017/000000000026.jpg,smoke coco scene 26,128,128,7219a5a11f472dfae112f1eda6a857eea67adc181f532849eb8590264cc77f45,1,
coco_01a25cf6e10cd9656721178a,coco,data/raw_smoke/coco/images/train2017/000000000027.jpg,images/train2017/000000000027.jpg,smoke coco scene 27,128,128,1c2b9efc32c640ccbf03eaa8a812875579fbd338b29d5c46c90e9f637fdbe8c1,1,
coco_f1372472c15898c394474c0e,coco,data/raw_smoke/coco/images/train2017/000000000028.jpg,images/train2017/000000000028.jpg,smoke coco scene 28,128,128,7f473325b460c1f5214fddc06b6f4b32ac187b6205e95fd079c58c2aacdffb7d,1,
coco_12e951d5bd3ddd6b4eaa4c5f,coco,data/raw_smoke/coco/images/train2017/000000000029.jpg,images/train2017/000000000029.jpg,smoke coco scene 29,128,128,f8a1c5c8159072594761b167376c4b58f50c8880a0735f7abf32082726264951,1,
coco_08fe7af157c4e40b77845c01,coco,data/raw_smoke/coco/images/train2017/000000000030.jpg,images/train2017/000000000030.jpg,smoke coco scene 30,128,128,bba37ea1d5005a208e6e9f7ab22cbbbe5d7a7a0f2c501f272d8c53cb7d321330,1,
coco_a93639a7c525ef52f8c2e836,coco,data/raw_smoke/coco/images/train2017/000000000031.jpg,images/train2017/000000000031.jpg,smoke coco scene 31,128,128,57a3fe6ec5fe6f4839d68d0cff21c0cdd5161fc21457895e748537b81b424f67,1,
coco_0bada288db0d691908aba119,coco,data/raw_smoke/coco/images/train2017/000000000032.jpg,images/train2017/000000000032.jpg,smoke coco scene 32,128,128,0a1cd51a8d3e6fd416f77a3b865b362d2d41c44ce087be9500767a2bb314218d,1,
coco_62ec6aa106e785e56debf1a3,coco,data/raw_smoke/coco/images/train2017/000000000033.jpg,images/train2017/000000000033.jpg,smoke coco scene 33,128,128,bb6976fd9c69858c72cdccf18aed23945500d48d2b3e1ca6f9543ad60e00b5f8,1,
coco_e0eaeb0661f64ec95b497005,coco,data/raw_smoke/coco/images/train2017/000000000034.jpg,images/train2017/000000000034.jpg,smoke coco scene 34,128,128,87bbe010c740d5372f0b08586ee1dd32f822c814ac4a1c3bf8e6e19f47587231,1,
coco_6d5569eabf9442354cb89db9,coco,data/raw_smoke/coco/images/train2017/000000000035.jpg,images/train2017/000000000035.jpg,smoke coco scene 35,128,128,389922e84ab36b84492713c6f106a89a5fb5a1a9695c15527bff3716274c572b,1,
